task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_active_params,n_deterministic_nonzero_params,n_inactive_zero_params,operationally_resolvable_fraction,deterministic_nonzero_labels,inactive_zero_labels,n_circuit_theta_params,n_residual_alpha_params,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,9,3,sum,17.802184367586822,16.541322275430858,8.267453839946642,6.857916501650099,32.77980031548603,12,12,0,0,1.0,,,12,0,0.5970732903784679
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,10,3,sum,14.171721294602056,20.09290044922364,10.055106683368207,0.3766825940896225,25.200322924774827,12,12,0,0,1.0,,,12,0,0.5110729136118656
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,11,3,sum,15.163462030710194,14.901681039954305,7.3663964210483535,3.9999536511999243,28.476881760953958,12,12,0,0,1.0,,,12,0,0.615303039609648
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,12,3,sum,11.324854336863842,10.22941600336914,6.010464601994746,2.1166082616298487,23.33352115448083,12,12,0,0,1.0,,,12,0,0.47029918332617554
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,13,3,sum,14.117310476626484,12.370548298870702,12.063270219068281,0.5242532236533028,37.22310306072207,12,12,0,0,1.0,,,12,0,0.4717221268911223
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,14,3,sum,11.16153948943478,8.64992535010972,6.24296114769887,4.728674268371895,20.857345656298072,12,12,0,0,1.0,,,12,0,0.4261581251577086
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,15,3,sum,11.734220400479765,12.53635058692663,7.400145461594086,0.022131298684922036,31.176877376212996,12,12,0,0,1.0,,,12,0,0.46206754997691585
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,16,3,sum,12.744335408941126,6.8676067830613095,10.180928027222551,2.302511945369761,27.56755357797609,12,12,0,0,1.0,,,12,0,0.5251311233866142
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,17,3,sum,11.573763607903976,9.611546166396085,7.9968875994003215,0.8520556561407838,24.052652579008832,12,12,0,0,1.0,,,12,0,0.4319954683187137
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,18,3,sum,13.196268561258305,10.182406682017104,11.926504694512348,0.0017640128426971342,37.8411668974155,12,12,0,0,1.0,,,12,0,0.502349363500395
