task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,n_deterministic_params,deterministic_labels,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,3,3,sum,44.69292867810886,38.694325996636415,24.72626602287242,18.824691224739706,75.033243643351,6,6,0,,0.7258621454488939
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,4,3,sum,16.167345307143147,14.85847447206637,7.269927899979601,8.661914387522968,29.75857111794005,6,6,0,,0.363851676550832
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,5,3,sum,10.491193000800576,10.646183371288183,4.106906069040506,4.458114159329383,14.81208623456928,6,6,0,,0.2358436392385029
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,6,3,sum,33.68243757935661,34.89069351640306,16.453345746362274,9.565473709710872,50.43686930661396,6,6,0,,0.5574796597582617
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,7,3,sum,37.3800069325425,26.26406230306211,23.25658981130621,11.038270384343525,69.2950996517632,6,6,0,,0.6640097769798112
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,8,3,sum,20.59226914692044,18.026947042340808,17.87275427192834,0.11432750219619998,44.81326804015112,6,6,0,,0.4046158597900236
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,9,3,sum,29.181826685280328,19.816949011766884,25.935092071205474,3.7504756712825196,62.93254200545437,6,6,0,,0.5652095521345606
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,10,3,sum,23.827266468356864,22.849244970275116,21.265577783865474,2.4025634609289543,46.22999097386652,6,6,0,,0.5174377050590753
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,11,3,sum,12.994891967370249,15.146525282991222,8.685988371888337,1.6896559827581774,25.32856595243582,6,6,0,,0.2993816777537662
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,12,3,sum,20.710837817052088,13.767064362389608,18.674800982760093,6.0706929569097365,60.1225213900517,6,6,0,,0.42404073090325256
