excluded_initialization_id,converged,n_obs,wallclock_s,E:L_estimate,E:L_se,E:L_p,E:R_estimate,E:R_se,E:R_p,L:R:depth_z_estimate,L:R:depth_z_se,L:R:depth_z_p
24,True,99857,78.43008637428284,0.024657191371174437,0.007334491099977898,0.0007743239623987375,0.0019079255788583172,0.00734803744006791,0.7951329603032569,-0.011537031119323922,0.00540296255089776,0.032735225938252066
25,True,99844,49.02378034591675,0.02649443496309622,0.007361256903051378,0.0003192311289841321,0.0032101563912526865,0.007375607245068043,0.6633885170988851,-0.011111519179609997,0.005422827542753708,0.040459490542881005
26,True,99844,51.55357384681702,0.023806581159807595,0.0073633775053130665,0.001224520497861148,0.0015262765760396823,0.007377733000435256,0.8361066278917177,-0.008334586039798189,0.005424427275139096,0.12441789720877217
27,True,99843,49.996010541915894,0.022279314878688346,0.007351627645050603,0.0024412639028987826,-0.00115324422450836,0.007365959362693356,0.8755884589889171,-0.01078136218106268,0.005415713459492995,0.04650775705830301
28,True,99868,52.172279357910156,0.024975748593592514,0.007365723088725645,0.0006968704687209115,-0.0025510317672310344,0.007379593783781469,0.7295777381071074,-0.010863755010315026,0.0054254947421097065,0.045246792692731796
29,True,99859,53.798457860946655,0.02373963346026935,0.007355437903922999,0.001248795556686444,-3.110509641066677e-06,0.0073695755525203365,0.9996632333127655,-0.009856401528364004,0.0054190892935039705,0.068937388292311
30,True,99849,51.602521896362305,0.023062771747313277,0.007356090354058888,0.0017174038411282844,-0.0014836427959378834,0.007370431821916634,0.8404666684249902,-0.008515884980154218,0.005419277766454964,0.11608839965284146
31,True,99849,50.21540188789368,0.024305847818480858,0.007356178736112778,0.0009526808667423836,-0.0025416864655080675,0.007370319619459977,0.7302039033320964,-0.011634016127473282,0.005418652888912719,0.03179080791031974
32,True,99865,57.57257628440857,0.020388652558992578,0.007344619307298755,0.005503245362703968,-0.004220797244905083,0.0073581983083820255,0.5662261217118809,-0.009480403245464793,0.005409424216723303,0.07967556998719649
33,True,99878,54.71281838417053,0.027523609874944687,0.007342970824137019,0.00017804183143876884,-0.0027037670708129767,0.007356110621353138,0.7132059022825863,-0.010055433059863618,0.005407638324011845,0.06295814297246505
34,True,99846,55.668508768081665,0.025286998221077515,0.007356572888513032,0.0005874706624424686,-0.0021728040697903904,0.007370915549779921,0.7681613668443203,-0.009924201041151192,0.005419443188810967,0.06706748461242551
35,True,99869,48.48683166503906,0.02758623709700886,0.007355598355314375,0.00017657175367213895,-0.0020587045429043827,0.007369251079447193,0.7799653825972337,-0.009985449814173382,0.005418114213103076,0.06533263987577653
36,True,99868,248.30954957008362,0.027646041117990367,0.00735776735819326,0.00017169110644621455,0.001771501789467861,0.007371396743704652,0.8100813792454058,-0.007839172841988358,0.005420222004050469,0.14809795049430674
37,True,99854,234.46889090538025,0.01888666771004924,0.007344022505800276,0.010119875115135013,-0.003435434042342642,0.007357893083159436,0.6405681422644081,-0.009482761076234967,0.005409987054011292,0.07963203404666208
38,True,99856,48.75150728225708,0.02553827452115029,0.007358045570900641,0.0005189182264779824,-0.0020556287404259787,0.0073720547924609695,0.780367097176085,-0.010462209467774375,0.005420346906999897,0.0535853551258183
39,True,99863,45.57400870323181,0.030776865099582426,0.007347120883949295,2.8022408844030622e-05,0.00013950069354429556,0.007360914723366,0.9848797613639875,-0.01221711489198906,0.005411566206491676,0.023971035035034616
40,True,99849,53.96152186393738,0.02508012540194832,0.007350785542628878,0.0006451241186387069,-0.0009267188155986413,0.007365038697869155,0.8998690738597828,-0.012267923105304748,0.005415218581139511,0.023484895949438034
41,True,99848,54.61696720123291,0.021784721898164435,0.007360893276191797,0.003081172029476109,-0.004232444714235083,0.007375164155277345,0.5660503376115229,-0.011627071416394867,0.0054226970065947705,0.03202093442565235
42,True,99863,50.42338800430298,0.027029077684895264,0.007335340188671674,0.000228904817570319,-0.001978115151761646,0.007349004012879288,0.7878005674811046,-0.010765427614846983,0.005403806205058381,0.046349830787484114
43,True,99846,43.87026810646057,0.03093385308825087,0.007350504354752685,2.5718676225139347e-05,-0.0010577144192149552,0.007364676206162517,0.8858005871547978,-0.010702700012287774,0.005414941815917642,0.04809676505302196
44,True,99852,55.71645998954773,0.025594772072337044,0.0073674140997945095,0.0005126636459062972,0.00021361775363908282,0.0073817078232599675,0.9769134020188222,-0.009888513100368966,0.005427449894821176,0.06846339004559487
45,True,99857,71.19096732139587,0.029461901215300887,0.007333237183599848,5.879771407357737e-05,0.0008603944349113792,0.0073471127968367375,0.9067756837143648,-0.011788216598290997,0.005401983392946725,0.029094660077477297
46,True,99843,46.185218334198,0.02601606674069771,0.007353390872190076,0.00040321785391350673,-0.0009962277150354305,0.0073677259830787906,0.8924418183768896,-0.010008155687078753,0.0054170123003914866,0.06466868172289009
47,True,99848,71.90289258956909,0.020252049620791048,0.007334978389457658,0.0057620484092379964,-0.00287566498849876,0.007349267964112015,0.6955859140068996,-0.01067227316176536,0.005403531877111745,0.0482618960793475
48,True,99867,50.5086190700531,0.029253024193793924,0.007356482383603573,6.993811795941163e-05,-0.001306712848722167,0.007370230150096081,0.8592758367163076,-0.010269199911754711,0.005419816903059265,0.05812548530217776
49,True,99849,57.40188407897949,0.023576471410018292,0.007357675140820511,0.0013537387354882746,-0.002127016787782602,0.007371886014236636,0.7729403932702921,-0.00909415086868709,0.005419928463226201,0.0933647168467171
