configuration_id,E,L,R,depth,budget,analysis_mode,cost_type,total_requested_shots,total_realized_shots,total_jobs,shifted_jobs,forward_feature_jobs,node_jacobian_jobs,objective_observable_jobs,objective_observable_settings,minimum_shots_per_job,mean_shots_per_job,median_shots_per_job,maximum_shots_per_job,zero_shot_jobs,base_shots,remainder_shots,remainder_policy
1,0,0,0,6,500,finite_shot_conditional,global,500,500,48,48,0,40,8,1,10,10.416666666666666,10.0,11,0,10,20,"sorted(block,parameter,shift,basis)"
1,0,0,0,6,500,finite_shot_end_to_end,global,500,500,53,48,5,40,8,1,9,9.433962264150944,9.0,10,0,9,23,"sorted(block,parameter,shift,basis)"
1,0,0,0,6,1000,finite_shot_conditional,global,1000,1000,48,48,0,40,8,1,20,20.833333333333332,21.0,21,0,20,40,"sorted(block,parameter,shift,basis)"
1,0,0,0,6,1000,finite_shot_end_to_end,global,1000,1000,53,48,5,40,8,1,18,18.867924528301888,19.0,19,0,18,46,"sorted(block,parameter,shift,basis)"
1,0,0,0,6,2000,finite_shot_conditional,global,2000,2000,48,48,0,40,8,1,41,41.666666666666664,42.0,42,0,41,32,"sorted(block,parameter,shift,basis)"
1,0,0,0,6,2000,finite_shot_end_to_end,global,2000,2000,53,48,5,40,8,1,37,37.735849056603776,38.0,38,0,37,39,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,250,finite_shot_conditional,global,250,250,8,8,0,0,8,1,31,31.25,31.0,32,0,31,2,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,250,finite_shot_end_to_end,global,250,250,8,8,0,0,8,1,31,31.25,31.0,32,0,31,2,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,500,finite_shot_conditional,global,500,500,8,8,0,0,8,1,62,62.5,62.5,63,0,62,4,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,500,finite_shot_end_to_end,global,500,500,8,8,0,0,8,1,62,62.5,62.5,63,0,62,4,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,1000,finite_shot_conditional,global,1000,1000,8,8,0,0,8,1,125,125.0,125.0,125,0,125,0,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,1000,finite_shot_end_to_end,global,1000,1000,8,8,0,0,8,1,125,125.0,125.0,125,0,125,0,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,2000,finite_shot_conditional,global,2000,2000,8,8,0,0,8,1,250,250.0,250.0,250,0,250,0,"sorted(block,parameter,shift,basis)"
2,1,0,0,1,2000,finite_shot_end_to_end,global,2000,2000,8,8,0,0,8,1,250,250.0,250.0,250,0,250,0,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,250,finite_shot_conditional,global,250,250,16,16,0,8,8,1,15,15.625,16.0,16,0,15,10,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,250,finite_shot_end_to_end,global,250,250,17,16,1,8,8,1,14,14.705882352941176,15.0,15,0,14,12,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,500,finite_shot_conditional,global,500,500,16,16,0,8,8,1,31,31.25,31.0,32,0,31,4,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,500,finite_shot_end_to_end,global,500,500,17,16,1,8,8,1,29,29.41176470588235,29.0,30,0,29,7,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,1000,finite_shot_conditional,global,1000,1000,16,16,0,8,8,1,62,62.5,62.5,63,0,62,8,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,1000,finite_shot_end_to_end,global,1000,1000,17,16,1,8,8,1,58,58.8235294117647,59.0,59,0,58,14,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,2000,finite_shot_conditional,global,2000,2000,16,16,0,8,8,1,125,125.0,125.0,125,0,125,0,"sorted(block,parameter,shift,basis)"
2,1,0,0,2,2000,finite_shot_end_to_end,global,2000,2000,17,16,1,8,8,1,117,117.6470588235294,118.0,118,0,117,11,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,250,finite_shot_conditional,global,250,250,24,24,0,16,8,1,10,10.416666666666666,10.0,11,0,10,10,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,250,finite_shot_end_to_end,global,250,250,26,24,2,16,8,1,9,9.615384615384615,10.0,10,0,9,16,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,500,finite_shot_conditional,global,500,500,24,24,0,16,8,1,20,20.833333333333332,21.0,21,0,20,20,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,500,finite_shot_end_to_end,global,500,500,26,24,2,16,8,1,19,19.23076923076923,19.0,20,0,19,6,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,1000,finite_shot_conditional,global,1000,1000,24,24,0,16,8,1,41,41.666666666666664,42.0,42,0,41,16,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,1000,finite_shot_end_to_end,global,1000,1000,26,24,2,16,8,1,38,38.46153846153846,38.0,39,0,38,12,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,2000,finite_shot_conditional,global,2000,2000,24,24,0,16,8,1,83,83.33333333333333,83.0,84,0,83,8,"sorted(block,parameter,shift,basis)"
2,1,0,0,3,2000,finite_shot_end_to_end,global,2000,2000,26,24,2,16,8,1,76,76.92307692307692,77.0,77,0,76,24,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,250,finite_shot_conditional,global,250,250,32,32,0,24,8,1,7,7.8125,8.0,8,0,7,26,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,250,finite_shot_end_to_end,global,250,250,35,32,3,24,8,1,7,7.142857142857143,7.0,8,0,7,5,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,500,finite_shot_conditional,global,500,500,32,32,0,24,8,1,15,15.625,16.0,16,0,15,20,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,500,finite_shot_end_to_end,global,500,500,35,32,3,24,8,1,14,14.285714285714286,14.0,15,0,14,10,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,1000,finite_shot_conditional,global,1000,1000,32,32,0,24,8,1,31,31.25,31.0,32,0,31,8,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,1000,finite_shot_end_to_end,global,1000,1000,35,32,3,24,8,1,28,28.571428571428573,29.0,29,0,28,20,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,2000,finite_shot_conditional,global,2000,2000,32,32,0,24,8,1,62,62.5,62.5,63,0,62,16,"sorted(block,parameter,shift,basis)"
2,1,0,0,4,2000,finite_shot_end_to_end,global,2000,2000,35,32,3,24,8,1,57,57.142857142857146,57.0,58,0,57,5,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,250,finite_shot_conditional,global,250,250,48,48,0,40,8,1,5,5.208333333333333,5.0,6,0,5,10,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,250,finite_shot_end_to_end,global,250,250,53,48,5,40,8,1,4,4.716981132075472,5.0,5,0,4,38,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,500,finite_shot_conditional,global,500,500,48,48,0,40,8,1,10,10.416666666666666,10.0,11,0,10,20,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,500,finite_shot_end_to_end,global,500,500,53,48,5,40,8,1,9,9.433962264150944,9.0,10,0,9,23,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,1000,finite_shot_conditional,global,1000,1000,48,48,0,40,8,1,20,20.833333333333332,21.0,21,0,20,40,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,1000,finite_shot_end_to_end,global,1000,1000,53,48,5,40,8,1,18,18.867924528301888,19.0,19,0,18,46,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,2000,finite_shot_conditional,global,2000,2000,48,48,0,40,8,1,41,41.666666666666664,42.0,42,0,41,32,"sorted(block,parameter,shift,basis)"
2,1,0,0,6,2000,finite_shot_end_to_end,global,2000,2000,53,48,5,40,8,1,37,37.735849056603776,38.0,38,0,37,39,"sorted(block,parameter,shift,basis)"
3,0,1,0,1,250,finite_shot_conditional,local,250,250,16,16,0,0,16,2,15,15.625,16.0,16,0,15,10,"sorted(block,parameter,shift,basis)"
