dataset,configuration_id,E,L,R,depth,metric,n,mean,median,sd,q1,q3,iqr,minimum,maximum,bootstrap_median,bootstrap_ci_lo,bootstrap_ci_hi
independent_seed,7,0,1,1,4,prepared_state_fidelity,50,0.08829933911682472,0.010358310290937334,0.15772193851967858,0.0015800205548184725,0.11738258730513171,0.11580256675031324,4.67468086980627e-06,0.8066124247685246,0.08752796115025765,0.05020750547376706,0.1362180045052949
independent_seed,7,0,1,1,6,normalized_prepared_state_energy,50,0.48683571199603326,0.5131466388076975,0.14903419422000647,0.38302515412020033,0.5945043696047803,0.21147921548457993,0.1416875129451532,0.8612444173164244,0.48702286550776963,0.4449535554028037,0.5262473184600436
independent_seed,7,0,1,1,6,prepared_state_fidelity,50,0.07890465479439888,0.02001639002192801,0.1489046547677395,0.003302222791634474,0.08069485741180304,0.07739263462016857,1.4699887544722445e-07,0.6528123396335986,0.07656000022284079,0.04189632604201545,0.12177816173725702
independent_seed,8,1,1,1,1,normalized_prepared_state_energy,50,0.48365098645003635,0.4900901650913806,0.18313920793480062,0.3418834505943512,0.6056108694345039,0.2637274188401527,0.1446942418693387,0.8817956683827394,0.4834190731699922,0.4350268359251867,0.5323907162436112
independent_seed,8,1,1,1,1,prepared_state_fidelity,50,0.06380836766026202,0.020814332676343444,0.10184404955378373,0.0059101067535432435,0.055577032687163935,0.049666925933620695,2.410276187406362e-07,0.38992671860219325,0.06327029877987553,0.03803343540975389,0.09206601799481903
independent_seed,8,1,1,1,2,normalized_prepared_state_energy,50,0.5038799998508169,0.49220608425188905,0.15013037330346343,0.409424396663707,0.606636076885054,0.19721168022134705,0.2023132999529696,0.896907455370457,0.5027036612247037,0.46365962042177444,0.5441134480276419
independent_seed,8,1,1,1,2,prepared_state_fidelity,50,0.0490429542944434,0.01188863352708035,0.09223048429972898,0.00393412927601701,0.03914586366917972,0.03521173439316271,4.830703656729865e-06,0.4371258698573501,0.04834684423957927,0.026217475104298938,0.07736891667291873
independent_seed,8,1,1,1,3,normalized_prepared_state_energy,50,0.48678181623433403,0.4474165831753926,0.18455715541464754,0.3459703968399392,0.654575665924862,0.30860526908492286,0.10033498913591628,0.8177979244199526,0.4878176175702713,0.43654557222545404,0.5384880678034151
independent_seed,8,1,1,1,3,prepared_state_fidelity,50,0.05841742984938735,0.01564724607496938,0.09476643005302207,0.0024722323268365843,0.06527966457360738,0.0628074322467708,9.402061346077175e-06,0.3788672376511781,0.05730950854840343,0.03363751649870307,0.08713620181302618
independent_seed,8,1,1,1,4,normalized_prepared_state_energy,50,0.5257250362304574,0.4864299081069198,0.14120611827376753,0.42869743365627555,0.6263762153902749,0.19767878173399933,0.17634042384476162,0.8093525569041589,0.5266574526545875,0.4890998143651455,0.5626732821620711
independent_seed,8,1,1,1,4,prepared_state_fidelity,50,0.05283484575288847,0.012736341375155719,0.11105788131369083,0.003514765355919529,0.032861000114143404,0.029346234758223875,1.5168626543035528e-06,0.5454219081859785,0.05166265838688396,0.026786170139345068,0.08492728215201213
independent_seed,8,1,1,1,6,normalized_prepared_state_energy,50,0.4660626208288766,0.4542799645807815,0.1452242076922979,0.3642700202525416,0.5833711132848461,0.21910109303230452,0.12419850561197082,0.74940326644861,0.46628176044126,0.4259021888700498,0.5069339512019232
